T,value
0,121.65
1,7498.12
2,2866.83
3,794.47
4,7638.57
5,9561.95
6,6819.74
7,8324.07
8,2753.54
9,-272.6
10,3396.49
11,3857.34
12,5266.3
13,2788.52
14,4681.03
15,6.34
16,5494.43
17,8914.71
18,7603.4
19,1428.25
20,591.98
21,3332.02
22,9255.67
23,7133.7
24,5182.05
25,5679.84
26,1007.18
27,7618.27
28,9321.01
29,5236.89
30,3471.53
31,-78.56
32,8589.7
33,1228.24
34,4987.27
35,-917.75
36,6345.11
37,6264.31
38,1335.3
39,270.95
40,8727.01
41,9904.28
42,7315.94
43,9983.38
44,5744.59
45,274.58
46,3792.5
47,4573.94
48,4266.13
49,855.87
50,5630.28
51,4113.64
52,868.9
53,4572.11
54,6530.86
55,4151.93
56,6478.46
57,3458.6
58,2741.87
59,1536.24
60,595.61
61,9331.13
62,-646.64
63,8795.16
64,242.77
65,8166.59
66,6853.37
67,1709.28
68,4867.52
69,-611.19
70,-362.86
71,4288.5
72,2764.43
73,6684.1
74,5745.33
75,1738.87
76,7136.97
77,5121.28
78,7383.53
79,2023.71
80,9468.34
81,6463.51
82,5174.71
83,3386.64
84,3306.32
85,6327.54
86,8031.44
87,1530.76
88,7354.23
89,4643.14
90,1182.91
91,2182.52
92,5500.11
93,5327.38
94,6323.92
95,2164.48
96,-551.37
97,4088.65
98,9889.89
99,8819.39
100,550.18
101,4750.34
102,9900.94
103,6261.66
104,827.94
105,9126.59
106,4622.91
107,2236.16
108,5082.93
109,810.45
110,1257.05
111,5174.91
112,6744.15
113,3017.44
114,2010.77
115,938.05
116,675.61
117,845.17
118,1783.49
119,9146.44
120,8340.61
121,5752.47
122,718.63
123,8947.54
124,9297.96
125,2884.05
126,4130.08
127,2272.84
128,5556.73
129,-15.94
130,5071.62
131,8731.51
132,8574.86
133,4782.02
134,3493.93
135,2515.61
136,4879.93
137,9908.57
138,2443.4
139,1188.18
140,2636.09
141,5792.47
142,2145.2
143,5363.02
144,285.11
145,4858.75
146,6058.83
147,1846.76
148,5373.95
149,7963.94
150,-63.77
151,4132.23
152,5447.79
153,6074.17
154,6592.65
155,8666.24
156,595.85
157,2317.36
158,5889.6
159,6520.73
160,9890.4
161,5101.92
162,992.63
163,5084.79
164,-929.64
165,4465.08
166,573.9
167,7552.13
168,8663.46
169,8756.73
170,3462.1
171,6513.83
172,3925.55
173,7650.52
174,1323.81
175,5267.35
176,9425.7
177,4847.34
178,1180.62
179,7627.08
180,3317.49
181,7048.39
182,1246.52
183,4284.46
184,861.06
185,4843.56
186,3691.95
187,8622.07
188,6114.25
189,9298.0
190,3567.08
191,-40.99
192,1971.73
193,4788.34
194,-288.06
195,7515.65
196,503.35
197,9814.16
198,5721.41
199,6690.27
200,-603.09
201,3735.88
202,9907.53
203,7016.96
204,1071.43
205,9401.92
206,1190.58
207,-901.4
208,6051.01
209,2284.27
210,-364.63
211,7623.41
212,7669.17
213,6759.64
214,-632.01
215,1736.65
216,2799.2
217,8113.89
218,1202.99
219,9568.43
220,5646.18
221,7421.98
222,-680.8
223,6676.81
224,4109.43
